Author,Count
Schulze,143
Tabachnick,114
Ijima,89
Reiswig,87
Lévi,64
Kelly,46
Janussen,36
Lendenfeld,33
Topsent,33
Menshenina,25
Okada,19
Kirkpatrick,17
Hajdu,15
Dohrmann,13
Schmidt,13
Wang,13
Lopes,12
Gong,10
Li,10
Kersken,9
Martínez Arbizu,9
Zhang,9
Stone,8
Wilson,8
Collins,7
Göcke,7
Menschenina,7
Koltun,6
Marshall,6
Ehrlich,5
Fromont,5
Gray,5
Shen,5
Tendal,5
Thomson,5
Boury-Esnault,4
Burton,4
Carter,4
Castello-Branco,4
Dendy,4
Lu,4
Berman,3
Bowerbank,3
Cheng,3
Chevaldonné,3
Duplessis,3
Goodwin,3
Hendry,3
Liu,3
Qiu,3
Vacelet,3
Amon,2
Carvalho,2
Cosme,2
Fristedt,2
Geller,2
Herzog,2
Ingole,2
Kahn,2
Kent,2
Lambe,2
Lee,2
Owen,2
Pisera,2
Pomponi,2
Sautya,2
Semper,2
Smith,2
Smith Jr.,2
Van Soest,2
Wörheide,2
Araya,1
Barboza du Bocage,1
BrÃ¸ndsted,1
Buskowiak,1
de Linares,1
De Vos,1
Ferrer HernÃ¡ndez,1
Gaimard,1
George,1
Hansen,1
Herklots,1
Higgin,1
Hooper,1
Kou,1
Leidy,1
Lim,1
Manisseri,1
McCoy,1
Meyer,1
Moraes,1
Moser,1
Muricy,1
Pequeno,1
Quoy,1
Reed,1
Schrammen,1
Setiawan,1
Thomas,1
Tsurumi,1
Vinod,1
Wiedenmayer,1
Wiedenmayer in Hooper,1
